Ensembl Gene ID	Associated Gene Name	Descriptio
AT3G18710	PUB29	U-box domain-containing protein 29
AT4G25880	APUM6	pumilio 6 protein
AT1G71695	AT1G71695	peroxidase 12
AT1G32045	AT1G32045	transposable element gene
AT5G41480	EMB9	folylpolyglutamate synthase
AT5G15008	AT5G15008	uncharacterized protein
AT3G18310	AT3G18310	uncharacterized protein
AT4G26490	AT4G26490	late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family member
AT5G46240	KAT1	Potassium channel KAT1
AT3G25717	RTFL16	protein rotundifolia like 16
AT5G62260	AT5G62260	AT hook motif DNA-binding protein
AT5G44313	AT5G44313	transposable element gene
AT5G35715	CYP71B8	cytochrome P450, family 71, subfamily B, polypeptide 8
AT2G21390	AT2G21390	coatomer subunit alpha-2
AT5G41908	AT5G41908	uncharacterized protein
AT3G48330	PIMT1	protein-L-isoaspartate O-methyltransferase
AT4G32710	AT4G32710	proline-rich receptor-like protein kinase
AT4G13259	AT4G13259	transposable element gene
AT2G21930	AT2G21930	F-box protein
AT3G53910	AT3G53910	malate dehydrogenase-like protein
AT1G71528	AT1G71528	other RNA
AT4G25090	AT4G25090	putative respiratory burst oxidase-like protein protein G
AT2G18870	VEL3	vernalization5/VIN3-like protein
AT1G64560	AT1G64560	pseudogene
AT1G56250	PP2-B14	F-box protein PP2-B14
AT3G16830	TPR2	Topless-related 2 protein
AT3G03305	AT3G03305	calcineurin-like metallo-phosphoesterase-like protein
AT5G50110	AT5G50110	glucose inhibited division protein B
AT5G66670	AT5G66670	uncharacterized protein
AT2G38310	PYL4	abscisic acid receptor PYL4
AT5G23000	ATMYB37	transcription factor RAX1
AT2G12195	AT2G12195	transposable element gene
AT5G03560	AT5G03560	nucleobase:cation symporter-1, NCS1 family
AT1G28940	AT1G28940	pre-tRNA
AT1G76280	AT1G76280	pentatricopeptide repeat-containing protein
AT3G03272	AT3G03272	uncharacterized protein
AT3G28960	AT3G28960	Transmembrane amino acid transporter family protein
AT3G10210	AT3G10210	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
AT1G71390	AtRLP11	receptor like protein 11
AT3G42718	AT3G42718	transposable element gene
AT2G11130	AT2G11130	transposable element gene
AT4G29180	RHS16	protein root hair specific 16
AT1G15210	PDR7	ABC transporter G family member 35
AT3G63470	scpl40	carboxypeptidase D
AT2G46620	AT2G46620	P-loop containing nucleoside triphosphate hydrolase-like protein
AT2G43750	OASB	cysteine synthase
AT2G24490	ATRPA32A	replicon protein A2
AT2G15080	RLP19	receptor like protein 19
AT3G13820	AT3G13820	F-box protein
AT1G16360	AT1G16360	putative ALA-interacting subunit 4
AT3G49770	AT3G49770	uncharacterized protein
AT4G31660	AT4G31660	B3 domain-containing protein REM7
AT1G26670	VTI1B	vesicle transport v-SNARE 12
AT3G09505	AT3G09505	pre-tRNA
AT1G52200	AT1G52200	PLAC8 family protein
AT1G57800	VIM5	E3 ubiquitin-protein ligase ORTHRUS 3
AT1G69460	AT1G69460	emp24/gp25L/p24 family/GOLD domain-containing protein
AT4G23200	CRK12	putative cysteine-rich receptor-like protein kinase 12
AT4G10980	AT4G10980	transposable element gene
AT1G08080	ATACA7	carbonic anhydrase
AT5G15420	AT5G15420	uncharacterized protein
AT4G29810	MK1	mitogen-activated protein kinase kinase 2
AT1G80870	AT1G80870	protein kinase-like protein
AT5G18730	AT5G18730	uncharacterized protein
AT5G67570	EMB1408	delayed greening 1 protein
AT1G75310	AUL1	auxin-like 1 protein
AT2G13160	AT2G13160	transposable element gene
AT1G14315	AT1G14315	F-box domain-containing protein
AT5G57625	AT5G57625	SCP-like extracellular protein domain-containing protein
AT4G35440	CLCE	chloride channel protein CLC-e
AT3G55380	UBC14	ubiquitin-conjugating enzyme E2 14
AT1G05250	AT1G05250	peroxidase 1/2
AT1G58010	AT1G58010	pseudogene
AT3G44560	FAR8	fatty acyl-CoA reductase 8
AT4G10925	AT4G10925	F-box protein SKIP8
AT5G51680	AT5G51680	hydroxyproline-rich glycoprotein family protein
AT5G35113	AT5G35113	transposable element gene
AT1G12790	AT1G12790	uncharacterized protein
AT2G37260	WRKY44	WRKY transcription factor 44
AT5G54610	ANK	ankyrin repeat family protein
AT4G13550	AT4G13550	triacylglycerol lipase
AT5G20560	AT5G20560	putative beta-1,3-glucanase
AT1G31760	AT1G31760	SWIB/MDM2 domain-containing protein
AT1G74000	SS3	strictosidine synthase 3
AT3G48480	AT3G48480	cysteine-type peptidase
AT1G53903	AT1G53903	uncharacterized protein
AT2G10070	AT2G10070	transposable element gene
AT1G19715	AT1G19715	mannose-binding lectin-like protein
AT3G63400	AT3G63400	cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
AT5G62750	AT5G62750	uncharacterized protein
AT5G50000	AT5G50000	protein kinase
AT1G69430	AT1G69430	uncharacterized protein
AT1G53340	AT1G53340	cysteine/histidine-rich c1 domain-containing protein
ATCG00160	RPS2	ribosomal protein S2
AT1G33580	AT1G33580	transposable element gene
AT3G24110	AT3G24110	putative calcium-binding protein CML22
AT1G80290	AT1G80290	nucleotide-diphospho-sugar transferase
AT1G56540	AT1G56540	TIR-NBS-LRR class disease resistance protein
AT3G20920	AT3G20920	translocation protein SEC62
AT3G05545	AT3G05545	RING/U-box domain-containing protein
AT5G26220	AT5G26220	ChaC-like family protein
AT3G09190	AT3G09190	putative lectin
AT4G27400	AT4G27400	late embryogenesis abundant protein-like protein
AT5G61930	APO3	APO protein 3
AT1G69860	AT1G69860	nitrate transporter 1
AT1G10120	AT1G10120	transcription factor bHLH74
AT2G38390	AT2G38390	peroxidase 23
AT5G08760	AT5G08760	uncharacterized protein
AT2G25250	AT2G25250	uncharacterized protein
AT1G51990	AT1G51990	O-methyltransferase-like 2 protein
AT3G28370	AT3G28370	uncharacterized protein
AT2G15710	AT2G15710	TRAF-like family protein
AT5G20250	DIN10	putative galactinol--sucrose galactosyltransferase 6
AT4G05220	AT4G05220	late embryogenesis abundant hydroxyproline-rich glycoprotein
AT4G04730	AT4G04730	uncharacterized protein
AT5G55045	AT5G55045	pre-tRNA
AT3G29010	AT3G29010	biotin/lipoate A/B protein ligase family protein
AT4G34800	AT4G34800	SAUR-like auxin-responsive protein
AT1G63430	AT1G63430	putative LRR receptor-like serine/threonine-protein kinase
AT4G06581	AT4G06581	transposable element gene
AT1G08460	HDA08	histone deacetylase 8
AT1G78710	TBL42	trichome birefringence-like 42
AT4G03820	AT4G03820	uncharacterized protein
AT2G26330	ER	LRR receptor-like serine/threonine-protein kinase ERECTA
AT1G08610	AT1G08610	pentatricopeptide repeat-containing protein
AT3G57620	AT3G57620	glyoxal oxidase-related protein
AT1G17540	AT1G17540	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
AT5G08070	TCP17	transcription factor TCP17
AT3G29798	AT3G29798	transposable element gene
AT1G27380	RIC2	ROP-interactive CRIB motif-containing protein 2
AT1G58643	AT1G58643	Inositol-pentakisphosphate 2-kinase-like protein
AT1G56810	AT1G56810	pre-tRNA
AT5G14030	AT5G14030	translocon-associated protein subunit beta
AT1G48953	AT1G48953	uncharacterized protein
AT2G02310	AtPP2-B6	putative F-box protein PP2-B6
AT5G34945	AT5G34945	pseudogene
AT4G11020	AT4G11020	uncharacterized protein
AT3G50670	U1-70K	U1 small nuclear ribonucleoprotein-70K
AT2G07719	AT2G07719	Putative membrane lipoprotein
AT5G45440	AT5G45440	putative disease resistance protein
AT2G13520	AT2G13520	transposable element gene
AT4G05110	ATENT6	equilibrative nucleoside transporter 6
AT3G44080	AT3G44080	F-box protein
