Ensembl Gene ID	Associated Gene Name	Descriptio
T24D1.1	sqv-5	Protein SQV-5, isoform b 
F35C12.2	ncx-4	Protein NCX-4, isoform a 
W04A8.1	W04A8.1	Protein W04A8.1, isoform a 
T05F1.7	T05F1.7	Protein T05F1.7 
Y18D10A.5	gsk-3	Glycogen synthase kinase-3 
W02A11.8	bath-35	Protein BATH-35 
C41G7.7	C41G7.7	Uncharacterized protein C41G7.7 
F30F8.2	glna-3	Putative glutaminase F30F8.2 
ZK39.8	clec-99	Protein CLEC-99 
Y34D9B.1	mig-1	Protein MIG-1, isoform a 
F40E3.6	F40E3.6	Protein F40E3.6 
Y53C10A.10	Y53C10A.10	Protein Y53C10A.10 
W03D8.2	W03D8.2	Protein W03D8.2, isoform b 
C36B1.1	cle-1	Protein CLE-1, isoform a 
C09D4.1	C09D4.1	Uncharacterized MFS-type transporter C09D4.1 
B0207.4	air-2	Aurora/IPL1-related protein kinase 2 
K09H9.2	K09H9.2	Protein K09H9.2 
Y20F4.3	gap-3	Protein GAP-3 
F47G6.1	dyb-1	Dystrobrevin-1 
F36A2.12	F36A2.12	Protein F36A2.12 
ZK1025.6	nhr-244	Protein NHR-244 
B0414.2	rnt-1	Protein RNT-1 
Y71F9AR.3	Y71F9AR.3	Protein Y71F9AR.3 
Y52B11A.3	Y52B11A.3	Protein Y52B11A.3, isoform a 
Y47H9C.6	csp-3	Protein CSP-3 
C43H8.1	C43H8.1	Protein archease-like 
H16D19.1	clec-13	Protein CLEC-15 
T27C10.8	T27C10.8	Protein T27C10.8 
Y106G6A.5	dsbn-1	Dysbindin protein homolog 
F55H12.3	F55H12.3	Protein F55H12.3 
F55F8.5	tag-345	Ribosome biogenesis protein WDR12 homolog 
C26C6.9	C26C6.9	Protein C26C6.9 
M01A12.1	col-53	Protein COL-53 
Y65B4BL.6	Y65B4BL.6	Protein Y65B4BL.6, isoform a 
C27A12.5	ceh-2	Protein CEH-2 
F53B6.8	fipr-26	Protein FIPR-26 
F32B5.3	F32B5.3	Protein F32B5.3 
Y23H5B.2	Y23H5B.2	Protein Y23H5B.2 
T22H2.1	sri-12	Protein SRI-12 
F56H1.7	oxy-5	Protein OXY-5 
Y39G10AR.11	Y39G10AR.11	Protein Y39G10AR.11 
F49B2.3	F49B2.3	Protein F49B2.3 
F25H2.9	pas-5	Proteasome subunit alpha type-5 
ZK973.6	anc-1	Nuclear anchorage protein 1 
Y105E8A.20	Y105E8A.20	Protein Y105E8A.20, isoform b 
ZC328.1	cuti-1	Protein CUTI-1 
W03F11.3	dct-9	Protein DCT-9 
F36D1.23	F36D1.23	Protein F36D1.23 
Y71F9B.6	Y71F9B.6	Protein Y71F9B.6 
ZK1151.1	vab-10	Protein VAB-10, isoform g 
F55A3.3	F55A3.3	FACT complex subunit spt-16 
E03H4.4	E03H4.4	Protein E03H4.4 
M04F3.3	M04F3.3	Protein M04F3.3 
C50F2.5	C50F2.5	Protein C50F2.5 
F36A2.10	F36A2.10	Protein F36A2.10 
C04F1.3	lim-7	Protein LIM-7 
M01D7.1	M01D7.1	Protein M01D7.1 
F36D1.9	F36D1.9	Protein F36D1.9 
T26E3.2	ndx-1	Putative nudix hydrolase 1 
ZK1225.2	ZK1225.2	Protein ZK1225.2 
F56G4.4	F56G4.4	Protein F56G4.4 
D2005.3	D2005.3	Uncharacterized protein D2005.3 
T22C1.3	T22C1.3	Protein T22C1.3 
C54G4.2	C54G4.2	Protein C54G4.2 
W04C9.4	W04C9.4	Protein W04C9.4 
Y51F10.3	Y51F10.3	Protein Y51F10.3 
H27M09.5	H27M09.5	Protein H27M09.5 
F46F11.9	F46F11.9	Protein F46F11.9, isoform a 
Y54E5A.7	Y54E5A.7	Protein Y54E5A.7, isoform a 
F57C9.7	F57C9.7	Protein F57C9.7 
Y106G6D.6	Y106G6D.6	Protein Y106G6D.6 
C34G6.2	tyr-4	Protein TYR-4 
W10C8.5	W10C8.5	Protein W10C8.5 
F36H2.3	F36H2.3	Protein F36H2.3, isoform a 
C04F12.9	rnh-1.3	Protein RNH-1.3 
Y71F9AL.9	Y71F9AL.9	Protein Y71F9AL.9 
C01H6.2	C01H6.2	Protein C01H6.2 
T28B8.3	T28B8.3	Protein T28B8.3, isoform a 
F41D3.7	F41D3.7	Protein F41D3.7 
F13G3.11	mrpl-13	Protein MRPL-13 
